Car_ID,Make,Model,Year,Engine_HP,Engine_Cylinders,Transmission_Type,Driven_Wheels,Market_Category,Vehicle_Size,Vehicle_Style,highway_MPG,city_mpg,Popularity,MSRP,image_url
51,BMW,2 Series,2017,335.0,6.0,AUTOMATIC,all wheel drive,"Factory Tuner, Luxury, High-Performance",Compact,Coupe,31,21,3916,46450,https://source.unsplash.com/600x400/?BMW+2+Series+car
52,BMW,2 Series,2017,335.0,6.0,AUTOMATIC,rear wheel drive,"Factory Tuner, Luxury, High-Performance",Compact,Convertible,32,21,3916,49050,https://source.unsplash.com/600x400/?BMW+2+Series+car
53,BMW,2 Series,2017,335.0,6.0,AUTOMATIC,all wheel drive,"Factory Tuner, Luxury, High-Performance",Compact,Convertible,32,21,3916,51050,https://source.unsplash.com/600x400/?BMW+2+Series+car
54,BMW,2 Series,2017,335.0,6.0,AUTOMATIC,rear wheel drive,"Factory Tuner, Luxury, High-Performance",Compact,Coupe,32,21,3916,44450,https://source.unsplash.com/600x400/?BMW+2+Series+car
55,BMW,2 Series,2017,248.0,4.0,AUTOMATIC,rear wheel drive,"Luxury, Performance",Compact,Convertible,34,23,3916,38950,https://source.unsplash.com/600x400/?BMW+2+Series+car
56,BMW,2 Series,2017,248.0,4.0,AUTOMATIC,rear wheel drive,"Luxury, Performance",Compact,Coupe,35,24,3916,33150,https://source.unsplash.com/600x400/?BMW+2+Series+car
57,BMW,2 Series,2017,248.0,4.0,AUTOMATIC,all wheel drive,"Luxury, Performance",Compact,Coupe,33,24,3916,35150,https://source.unsplash.com/600x400/?BMW+2+Series+car
58,BMW,2 Series,2017,248.0,4.0,AUTOMATIC,all wheel drive,Luxury,Compact,Convertible,33,23,3916,40950,https://source.unsplash.com/600x400/?BMW+2+Series+car
59,Audi,200,1990,162.0,5.0,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,20,16,3105,2000,https://source.unsplash.com/600x400/?Audi+200+car
60,Audi,200,1990,162.0,5.0,MANUAL,all wheel drive,Luxury,Midsize,Wagon,22,15,3105,2000,https://source.unsplash.com/600x400/?Audi+200+car
